Dealer_ID,LeadStatusType_Name,LeadType_Name,LeadType_ID,CustomerCreated_UTC,LeadCreated_UTC,LeadSource_Name,SalesPerson_FirstName,SalesPerson_LastName,First_Name,Last_Name,Middle_Name,Email,Email_Alt,Vehicle_Year,Vehicle_Make,Vehicle_Model,Vehicle_VIN,Vehicle_StockNumber,SoldDate_UTC,DoNotCall,DoNotEmail,DoNotMail,MFG_TYPE,MFG_MAKE,MFG_POS,MFG_CNT,F11,F12,F13,New_Auto_Class
4282,Sold,Internet,1.0,4/1/24 19:19,4/1/24 19:19,Dealer Inspire - Website,Frederick Harrell,LeDuc,Kaitlin Gregory,Morris,J,albert00@johnston-roberts.com,rebeccastanley@petersen.com,2023.0,BMW,230i,3MW33CM00P8C79401,4H607-1,4/3/24 16:12,False,False,False,Luxury,BMW-MINI,Luxury,European,Import,Luxury,Sport,MID SIZE CAR
4282,Lost,Internet,1.0,3/24/13 21:04,3/24/13 20:36,BlackBookOnline,Frederick Harrell,Desrochers,Scott Campbell,Womersley,J,kellywright@faulkner-howard.com,wagnerdavid@stark.org,2011.0,HONDA,CR-V,JHMGE8H34DC032837,4H968SS1,5/2/24 21:14,False,True,False,Reliability,HONDA,Import,Japanese,Import,Reliability,Low Maintenance,SMALL SUV
4282,Active,Internet,1.0,4/28/24 18:42,4/28/24 18:42,Truecar/Truecar,Elizabeth Houston,Lemus,Jared Jones,Haji,P,ohull@johnston-roberts.com,tlarson@gomez.org,2015.0,INFINITI,Q50,JN1BV7AR4FM394557,AZ6297-1,4/28/24 20:35,False,False,False,Luxury,INFINITI,Luxury,Japanese,Import,Luxury,Reliability,SMALL CAR
4282,Active,Internet,1.0,4/30/24 16:01,4/30/24 16:01,Cargurus - Digital Deal,Anthony Ruiz,Perez,Anna Stewart,Fraza,Leo,alexandramitchell@moreno.com,dianalloyd@garza-baker.org,2015.0,INFINITI,Q50,JN1BV7AR4FM394557,AZ6297-1,4/29/24 23:14,False,False,False,Luxury,INFINITI,Luxury,Japanese,Import,Luxury,Reliability,SMALL CAR
4282,Active,Internet,1.0,4/23/24 16:52,4/23/24 16:52,Cargurus,Anthony Ruiz,Perez,Ann Huber,Mazziotta,Mauricio,josephmcmahon@johnston-roberts.com,qbrown@moreno.com,2015.0,INFINITI,Q50,JN1BV7AR4FM394557,AZ6297-1,4/23/24 15:41,False,False,False,Luxury,INFINITI,Luxury,Japanese,Import,Luxury,Reliability,SMALL CAR
4282,Bad,Internet,1.0,4/23/24 16:58,4/23/24 16:58,Cargurus,Elizabeth Houston,Lemus,Misty Torres,Test,Mauricio,josephmcmahon@johnston-roberts.com,qbrown@moreno.com,2015.0,INFINITI,Q50,JN1BV7AR4FM394557,AZ6297-1,4/23/24 15:41,False,False,False,Luxury,INFINITI,Luxury,Japanese,Import,Luxury,Reliability,SMALL CAR
4282,Active,Phone,3.0,4/23/24 17:06,4/23/24 17:06,Employee,Michael Ellis,Genao,Robert Smith,Vaz picanco e tosta,Mauricio,josephmcmahon@johnston-roberts.com,qbrown@moreno.com,2015.0,INFINITI,Q50,JN1BV7AR4FM394557,AZ6297-1,4/23/24 15:41,False,False,False,Luxury,INFINITI,Luxury,Japanese,Import,Luxury,Reliability,SMALL CAR
4282,Active,Internet,1.0,4/24/24 4:02,4/24/24 4:02,Dealer Inspire Credit App:Partial,Leslie Herring,Vaz,Monica Shelton,Griggs,De Jesus,cholland@johnston-roberts.com,andreaallen@wyatt.com,2015.0,INFINITI,Q50,JN1BV7AR4FM394557,AZ6297-1,4/24/24 19:35,False,False,False,Luxury,INFINITI,Luxury,Japanese,Import,Luxury,Reliability,SMALL CAR
4282,Active,Internet,1.0,4/24/24 7:48,4/24/24 7:48,"Carfax, Inc",Anthony Ruiz,Perez,Cynthia Jones,Alestock,De Jesus,qwebb@johnston-roberts.com,andreaallen@wyatt.com,2015.0,INFINITI,Q50,JN1BV7AR4FM394557,AZ6297-1,4/24/24 19:35,False,False,False,Luxury,INFINITI,Luxury,Japanese,Import,Luxury,Reliability,SMALL CAR
4282,Active,Internet,1.0,4/24/24 19:02,4/24/24 19:02,Cargurus - Appt - Digital Deal,Leslie Herring,Vaz,Kelly Evans,Silvers,B,erin00@johnston-roberts.com,andreaallen@wyatt.com,2015.0,INFINITI,Q50,JN1BV7AR4FM394557,AZ6297-1,5/1/24 18:22,False,False,False,Luxury,INFINITI,Luxury,Japanese,Import,Luxury,Reliability,SMALL CAR
4282,Active,Internet,1.0,4/25/24 5:41,4/25/24 5:41,Cargurus,Elizabeth Houston,Lemus,Steven Pierce,Christina,A,maciasmallory@moreno.com,andreaallen@wyatt.com,2015.0,INFINITI,Q50,JN1BV7AR4FM394557,AZ6297-1,4/26/24 20:45,False,False,False,Luxury,INFINITI,Luxury,Japanese,Import,Luxury,Reliability,SMALL CAR
4282,Bad,Internet,1.0,4/25/24 23:17,4/25/24 23:17,Podium - Webchat,Heather Welch,Buonopane,Nicole Moore,Galligani,V,umosley@johnston-roberts.com,sgordon@moon.com,2019.0,HONDA,HR-V,3CZRZ2H38RM771222,4H1034,4/25/24 22:13,False,False,False,Reliability,HONDA,Import,Japanese,Import,Reliability,Low Maintenance,MID SIZE CAR
4282,Active,Internet,1.0,4/27/24 12:41,4/27/24 12:41,Cargurus,Heather Welch,Buonopane,Scott Miles,Gorman,Oliver,jason36@johnston-roberts.com,sgordon@moon.com,2015.0,INFINITI,Q50,JN1BV7AR4FM394557,AZ6297-1,4/29/24 22:40,False,False,False,Luxury,INFINITI,Luxury,Japanese,Import,Luxury,Reliability,SMALL CAR
